Date,Description,Category,Amount,Account
2024-01-01,Starbucks,Coffee,-4.50,Checking
2024-01-01,Salary,Income,2500.00,Checking
2024-01-02,Amazon,Shopping,-35.99,Checking
2024-01-02,Uber,Transport,-12.75,Checking
2024-01-03,Whole Foods,Groceries,-56.20,Checking
2024-01-03,Netflix,Entertainment,-15.99,Credit Card
2024-01-04,Apple Store,Electronics,-199.99,Credit Card
2024-01-04,Transfer,Savings,-500.00,Checking
2024-01-05,Shell,Gas,-40.00,Checking
2024-01-05,Spotify,Entertainment,-9.99,Credit Card
2024-01-06,Target,Shopping,-120.45,Checking
2024-01-06,Salary,Income,2500.00,Checking
2024-01-07,McDonalds,Food,-8.99,Checking
2024-01-07,Transfer,Investment,-200.00,Checking
2024-01-08,Amazon,Shopping,-22.49,Checking
2024-01-08,Uber,Transport,-18.50,Checking
2024-01-09,Trader Joe's,Groceries,-65.30,Checking
2024-01-09,Disney+,Entertainment,-7.99,Credit Card
2024-01-10,Apple Store,Electronics,-99.99,Credit Card
2024-01-10,Transfer,Savings,-300.00,Checking
2024-01-11,Shell,Gas,-38.00,Checking
2024-01-11,Spotify,Entertainment,-9.99,Credit Card
2024-01-12,Target,Shopping,-80.45,Checking
2024-01-12,Salary,Income,2500.00,Checking
2024-01-13,McDonalds,Food,-6.99,Checking
2024-01-13,Transfer,Investment,-150.00,Checking
2024-01-14,Amazon,Shopping,-12.49,Checking
2024-01-14,Uber,Transport,-10.50,Checking
2024-01-15,Whole Foods,Groceries,-76.20,Checking
2024-01-15,Netflix,Entertainment,-15.99,Credit Card
2024-01-16,Apple Store,Electronics,-299.99,Credit Card
2024-01-16,Transfer,Savings,-400.00,Checking
2024-01-17,Shell,Gas,-42.00,Checking
2024-01-17,Spotify,Entertainment,-9.99,Credit Card
2024-01-18,Target,Shopping,-110.45,Checking
2024-01-18,Salary,Income,2500.00,Checking
2024-01-19,McDonalds,Food,-7.99,Checking
2024-01-19,Transfer,Investment,-250.00,Checking
2024-01-20,Amazon,Shopping,-32.49,Checking
2024-01-20,Uber,Transport,-14.50,Checking
2024-01-21,Trader Joe's,Groceries,-55.30,Checking
2024-01-21,Disney+,Entertainment,-7.99,Credit Card
2024-01-22,Apple Store,Electronics,-149.99,Credit Card
2024-01-22,Transfer,Savings,-350.00,Checking
2024-01-23,Shell,Gas,-36.00,Checking
